text,label
Отличный товар, очень доволен,pos
Плохой сервис, больше не куплю,neg
Среднее качество, нормально,neu
Супер! Рекомендую,pos
Ужасно, полный брак,neg
очень доволен,pos
больше не куплю,neg
нормально,neu
полный брак,neg
Совсем не понравилось, разочарован,neg
В целом нормально, ожидал большего!,neu
Шикарный товар, рекомендую!,pos
Совсем не понравилось, разочарован в целом,neg
Среднее качество, в целом ок,neu
Работает идеально, без нареканий :),pos
Нормальный товар, без восторга!,neu
Шикарный товар, рекомендую :(,pos
Очень разочарован сервисом и качеством,neg
Среднее качество, в целом ок!,neu
Плохое качество, не советую :),neg
Среднее качество, в целом ок.,neu
Очень понравилось, всё отлично!,pos
Полнейший отстой, зря купил.,neg
Шикарный товар, рекомендую.,pos
Обычный товар, работает как должен,neu
Отличное качество, буду брать ещё.,pos
Очень разочарован сервисом и качеством.,neg
Нормальный товар, без восторга в целом,neu
В целом доволен покупкой :(,pos
Совсем не понравилось, разочарован :),neg
Нормальный товар, без восторга :(,neu
Отличное качество, буду брать ещё в целом,pos
Очень понравилось, всё отлично,pos
Плохое качество, не советую.,neg
Очень понравилось, всё отлично :),pos
Товар сломался через неделю :),neg
Плохое качество, не советую в целом,neg
В целом нормально, ожидал большего в целом,neu
Очень понравилось, всё отлично :(,pos
Плохое качество, не советую :(,neg
Что-то среднее, есть плюсы и минусы!,neu
В целом доволен покупкой :),pos
Товар сломался через неделю в целом,neg
Отличное качество, буду брать ещё,pos
Плохое качество, не советую,neg
В целом нормально, ожидал большего :),neu
Полнейший отстой, зря купил!,neg
Шикарный товар, рекомендую в целом,pos
Очень разочарован сервисом и качеством :(,neg
Очень разочарован сервисом и качеством :),neg
Полнейший отстой, зря купил,neg
Нормальный товар, без восторга,neu
Обычный товар, работает как должен :(,neu
Полнейший отстой, зря купил :(,neg
Отличное качество, буду брать ещё :(,pos
Работает идеально, без нареканий.,pos
Товар сломался через неделю,neg
Шикарный товар, рекомендую :),pos
В целом нормально, ожидал большего :(,neu
Работает идеально, без нареканий :(,pos
Плохое качество, не советую!,neg
Совсем не понравилось, разочарован :(,neg
Товар сломался через неделю.,neg
Что-то среднее, есть плюсы и минусы,neu
Работает идеально, без нареканий!,pos
Обычный товар, работает как должен!,neu
Работает идеально, без нареканий в целом,pos
Отличное качество, буду брать ещё :),pos
Шикарный товар, рекомендую,pos
Среднее качество, в целом ок :(,neu
В целом нормально, ожидал большего,neu
В целом доволен покупкой.,pos
Полнейший отстой, зря купил :),neg
Обычный товар, работает как должен в целом,neu
Очень понравилось, всё отлично в целом,pos
Что-то среднее, есть плюсы и минусы :(,neu
В целом доволен покупкой!,pos
Работает идеально, без нареканий,pos
Совсем не понравилось, разочарован!,neg
Что-то среднее, есть плюсы и минусы :),neu
В целом доволен покупкой,pos
Обычный товар, работает как должен.,neu
В целом доволен покупкой в целом,pos
Очень разочарован сервисом и качеством в целом,neg
Среднее качество, в целом ок в целом,neu
Очень разочарован сервисом и качеством!,neg
Отличное качество, буду брать ещё!,pos
Что-то среднее, есть плюсы и минусы в целом,neu
Нормальный товар, без восторга :),neu
Товар сломался через неделю :(,neg
Товар сломался через неделю!,neg
Совсем не понравилось, разочарован.,neg
В целом нормально, ожидал большего.,neu
Очень понравилось, всё отлично.,pos
Что-то среднее, есть плюсы и минусы.,neu
Среднее качество, в целом ок :),neu
Полнейший отстой, зря купил в целом,neg
Обычный товар, работает как должен :),neu
Нормальный товар, без восторга.,neu
